,coupe,pickup,sedan,suv,crossover
276,1515,1040,656,1381,346
277,1584,1015,639,1353,376
278,1547,1032,640,1387,445
279,1600,1046,650,1520,400
280,1700,1027,662,1684,394
281,1462,1125,580,1503,348
282,1006,879,455,1041,281
283,1011,800,445,991,275
284,1082,804,446,974,268
285,1125,786,444,996,275
286,1228,767,457,1090,294
287,1488,756,481,1253,300
288,1390,790,466,1250,287
289,983,701,429,949,250
290,1128,673,423,916,247
291,1033,663,425,945,244
292,981,659,435,957,236
293,1027,661,432,1020,235
294,1179,674,449,1147,245
295,1132,801,477,1261,281
296,1343,967,588,1300,330
297,1316,932,574,1262,315
298,1345,926,577,1232,312
299,1352,956,588,1287,314
300,1387,959,598,1355,332
301,1578,954,608,1503,339
302,1488,859,497,1341,302
303,626,477,272,583,156
304,838,468,272,565,154
305,1077,450,269,551,150
306,874,476,278,592,158
307,747,487,276,612,153
308,767,492,291,701,155
309,760,601,328,811,189
310,1002,842,474,995,254
311,1028,767,457,952,242
312,896,835,584,1009,252
313,1078,807,483,1026,250
314,1114,790,475,1056,251
315,1368,821,494,1212,255
316,1130,989,469,1169,252
317,738,753,343,736,185
318,745,656,343,717,186
319,860,633,339,728,186
320,774,612,328,728,179
321,913,594,359,766,182
322,1220,600,362,884,194
323,1149,603,348,865,190
324,553,419,232,488,125
325,618,438,226,475,129
326,525,457,222,462,120
327,523,411,221,461,116
328,814,479,216,484,118
329,1034,407,228,557,124
330,1130,462,251,608,144
331,1457,1177,624,1297,370
332,1444,1163,643,1330,361
333,1426,1216,653,1364,361
334,1411,1314,634,1389,350
335,1495,1200,633,1402,343
336,1583,1159,637,1507,344
337,1618,1162,627,1525,369
338,961,769,413,868,271
339,958,765,415,841,280
340,981,753,404,825,272
341,982,732,408,837,260
342,979,734,408,863,251
343,1351,731,431,1010,273
344,1320,732,418,1038,300
345,926,614,342,725,314
346,843,592,329,679,291
347,805,600,327,704,297
348,797,596,336,737,254
349,816,597,333,753,228
350,1017,614,344,848,227
351,1041,602,343,877,224
352,543,426,220,531,146
353,649,405,214,477,129
354,832,404,213,480,126
355,786,405,210,470,125
356,536,424,207,482,124
357,625,442,215,540,122
358,577,477,214,578,125
359,254,552,138,384,90
360,367,268,121,301,66
361,963,1417,424,1013,235
362,1007,1167,452,1068,248
363,1043,1069,451,1115,252
364,1085,907,440,1168,251
365,1083,867,427,1193,260
366,299,403,138,397,90
367,119,120,37,108,26
368,458,556,199,488,115
369,543,483,208,490,112
370,541,448,211,493,110
371,889,411,217,534,118
372,1221,393,211,567,119
373,857,422,215,515,124
374,787,418,222,484,121
375,691,403,224,488,121
376,910,394,224,516,122
377,644,387,220,519,120
378,654,385,236,601,123
379,668,383,231,649,127
380,734,589,313,801,175
381,862,628,356,863,193
382,910,614,351,843,185
383,963,608,364,866,193
384,974,614,360,871,190
385,1010,621,379,1011,201
386,1135,626,371,1062,205
387,743,750,279,801,160
388,639,508,260,624,136
