date,coupe,pickup,isPartial
2018-01-07 02:00:00,22,22,False
2018-01-07 03:00:00,21,22,False
2018-01-07 04:00:00,19,20,False
2018-01-07 05:00:00,21,17,False
2018-01-07 06:00:00,26,15,False
2018-01-07 07:00:00,34,12,False
2018-01-07 08:00:00,41,10,False
2018-01-07 09:00:00,43,9,False
2018-01-07 10:00:00,45,9,False
2018-01-07 11:00:00,46,10,False
2018-01-07 12:00:00,51,10,False
2018-01-07 13:00:00,63,13,False
2018-01-07 14:00:00,70,15,False
2018-01-07 15:00:00,92,16,False
2018-01-07 16:00:00,86,17,False
2018-01-07 17:00:00,88,18,False
2018-01-07 18:00:00,89,19,False
2018-01-07 19:00:00,96,20,False
2018-01-07 20:00:00,100,20,False
2018-01-07 21:00:00,85,22,False
2018-01-07 22:00:00,63,24,False
2018-01-07 23:00:00,38,25,False
2018-01-08 00:00:00,28,25,False
2018-01-08 00:00:00,21,19,False
2018-01-08 01:00:00,16,19,False
2018-01-08 02:00:00,15,18,False
2018-01-08 03:00:00,16,17,False
2018-01-08 04:00:00,18,15,False
2018-01-08 05:00:00,24,13,False
2018-01-08 06:00:00,28,10,False
2018-01-08 07:00:00,27,8,False
2018-01-08 08:00:00,26,7,False
2018-01-08 09:00:00,25,7,False
2018-01-08 10:00:00,25,7,False
2018-01-08 11:00:00,26,7,False
2018-01-08 12:00:00,26,9,False
2018-01-08 13:00:00,21,10,False
2018-01-08 14:00:00,21,11,False
2018-01-08 15:00:00,22,12,False
2018-01-08 16:00:00,26,13,False
2018-01-08 17:00:00,31,13,False
2018-01-08 18:00:00,45,14,False
2018-01-08 19:00:00,100,14,False
2018-01-08 20:00:00,57,15,False
2018-01-08 21:00:00,44,16,False
2018-01-08 22:00:00,37,17,False
2018-01-08 23:00:00,25,18,False
2018-01-09 00:00:00,18,18,False
2018-01-09 01:00:00,16,18,False
2018-01-09 02:00:00,15,18,False
2018-01-09 03:00:00,15,17,False
2018-01-09 04:00:00,16,16,False
2018-01-09 05:00:00,22,13,False
2018-01-09 06:00:00,28,10,False
2018-01-09 07:00:00,26,8,False
2018-01-09 08:00:00,25,7,False
2018-01-09 09:00:00,23,7,False
2018-01-09 10:00:00,23,7,False
2018-01-09 11:00:00,25,8,False
2018-01-09 12:00:00,23,9,False
2018-01-09 13:00:00,20,10,False
2018-01-09 14:00:00,20,11,False
2018-01-09 15:00:00,22,12,False
2018-01-09 16:00:00,23,12,False
2018-01-09 17:00:00,26,13,False
2018-01-09 18:00:00,28,13,False
2018-01-09 19:00:00,33,14,False
2018-01-09 20:00:00,38,14,False
2018-01-09 21:00:00,39,15,False
2018-01-09 22:00:00,30,16,False
2018-01-09 23:00:00,22,17,False
2018-01-10 00:00:00,18,17,False
2018-01-10 01:00:00,16,18,False
2018-01-10 02:00:00,15,17,False
2018-01-10 03:00:00,15,16,False
2018-01-10 04:00:00,15,14,False
2018-01-10 05:00:00,17,12,False
2018-01-10 06:00:00,20,10,False
2018-01-10 07:00:00,19,8,False
2018-01-10 08:00:00,20,7,False
2018-01-10 09:00:00,20,7,False
2018-01-10 10:00:00,21,7,False
2018-01-10 11:00:00,22,7,False
2018-01-10 12:00:00,22,9,False
2018-01-10 13:00:00,20,10,False
2018-01-10 14:00:00,21,10,False
2018-01-10 15:00:00,22,12,False
2018-01-10 16:00:00,24,12,False
2018-01-10 17:00:00,28,12,False
2018-01-10 18:00:00,33,13,False
2018-01-10 19:00:00,43,13,False
2018-01-10 20:00:00,53,13,False
2018-01-10 21:00:00,56,15,False
2018-01-10 22:00:00,49,16,False
2018-01-10 23:00:00,27,17,False
2018-01-11 00:00:00,19,18,False
2018-01-11 01:00:00,17,17,False
2018-01-11 02:00:00,16,17,False
2018-01-11 03:00:00,17,17,False
2018-01-11 04:00:00,18,15,False
2018-01-11 05:00:00,25,13,False
2018-01-11 06:00:00,30,10,False
2018-01-11 07:00:00,25,8,False
2018-01-11 08:00:00,23,7,False
2018-01-11 09:00:00,22,7,False
2018-01-11 10:00:00,21,7,False
2018-01-11 11:00:00,22,7,False
2018-01-11 12:00:00,21,8,False
2018-01-11 13:00:00,19,10,False
2018-01-11 14:00:00,19,11,False
2018-01-11 15:00:00,20,11,False
2018-01-11 16:00:00,21,12,False
2018-01-11 17:00:00,23,13,False
2018-01-11 18:00:00,25,13,False
2018-01-11 19:00:00,28,14,False
2018-01-11 20:00:00,31,14,False
2018-01-11 21:00:00,32,15,False
2018-01-11 22:00:00,28,16,False
2018-01-11 23:00:00,21,17,False
2018-01-12 00:00:00,17,17,False
2018-01-12 01:00:00,14,17,False
2018-01-12 02:00:00,14,17,False
2018-01-12 03:00:00,13,16,False
2018-01-12 04:00:00,13,15,False
2018-01-12 05:00:00,14,12,False
2018-01-12 06:00:00,17,10,False
2018-01-12 07:00:00,18,8,False
2018-01-12 08:00:00,19,7,False
2018-01-12 09:00:00,20,6,False
2018-01-12 10:00:00,20,7,False
2018-01-12 11:00:00,23,7,False
2018-01-12 12:00:00,22,8,False
2018-01-12 13:00:00,21,10,False
2018-01-12 14:00:00,21,11,False
2018-01-12 15:00:00,21,12,False
2018-01-12 16:00:00,21,12,False
2018-01-12 17:00:00,23,13,False
2018-01-12 18:00:00,24,13,False
2018-01-12 19:00:00,27,13,False
2018-01-12 20:00:00,28,14,False
2018-01-12 21:00:00,28,14,False
2018-01-12 22:00:00,25,15,False
2018-01-12 23:00:00,22,16,False
2018-01-13 00:00:00,18,16,False
2018-01-13 01:00:00,15,16,False
2018-01-13 02:00:00,14,17,False
2018-01-13 03:00:00,13,17,False
2018-01-13 04:00:00,13,16,False
2018-01-13 05:00:00,13,14,False
2018-01-13 06:00:00,14,11,False
2018-01-13 07:00:00,18,9,False
2018-01-13 08:00:00,21,8,False
2018-01-13 09:00:00,22,7,False
2018-01-13 10:00:00,24,7,False
2018-01-13 11:00:00,24,7,False
2018-01-13 12:00:00,24,8,False
2018-01-13 13:00:00,25,10,False
2018-01-13 14:00:00,25,11,False
2018-01-13 15:00:00,25,12,False
2018-01-13 16:00:00,25,13,False
2018-01-13 17:00:00,27,13,False
2018-01-13 18:00:00,28,14,False
2018-01-13 19:00:00,31,14,False
2018-01-13 20:00:00,31,15,False
2018-01-13 21:00:00,31,15,False
2018-01-13 22:00:00,29,15,False
2018-01-13 23:00:00,24,16,False
2018-01-14 00:00:00,20,15,False
2018-01-14 01:00:00,16,16,False
2018-01-14 02:00:00,15,17,False
2018-01-14 03:00:00,14,17,False
2018-01-14 04:00:00,13,15,False
2018-01-14 05:00:00,12,14,False
2018-01-14 06:00:00,13,12,False
2018-01-14 07:00:00,15,9,False
2018-01-14 08:00:00,18,8,False
2018-01-14 09:00:00,20,7,False
2018-01-14 10:00:00,23,7,False
2018-01-14 11:00:00,22,7,False
2018-01-14 12:00:00,23,8,False
2018-01-14 13:00:00,23,10,False
2018-01-14 14:00:00,23,11,False
2018-01-14 15:00:00,24,13,False
2018-01-14 16:00:00,25,14,False
2018-01-14 17:00:00,28,14,False
2018-01-14 18:00:00,30,15,False
2018-01-14 19:00:00,29,16,False
2018-01-14 20:00:00,29,17,False
2018-01-14 21:00:00,27,20,False
2018-01-14 22:00:00,24,25,False
2018-01-14 23:00:00,19,30,False
2018-01-15 00:00:00,16,29,False
2018-01-15 00:00:00,50,92,False
2018-01-15 01:00:00,43,93,False
2018-01-15 02:00:00,42,86,False
2018-01-15 03:00:00,38,78,False
2018-01-15 04:00:00,37,67,False
2018-01-15 05:00:00,39,50,False
2018-01-15 06:00:00,42,37,False
2018-01-15 07:00:00,46,29,False
2018-01-15 08:00:00,51,24,False
2018-01-15 09:00:00,52,23,False
2018-01-15 10:00:00,55,24,False
2018-01-15 11:00:00,54,32,False
2018-01-15 12:00:00,55,44,False
2018-01-15 13:00:00,55,51,False
2018-01-15 14:00:00,54,51,False
2018-01-15 15:00:00,58,51,False
2018-01-15 16:00:00,61,49,False
2018-01-15 17:00:00,66,49,False
2018-01-15 18:00:00,69,50,False
2018-01-15 19:00:00,78,50,False
2018-01-15 20:00:00,79,52,False
2018-01-15 21:00:00,78,59,False
2018-01-15 22:00:00,70,66,False
2018-01-15 23:00:00,59,73,False
2018-01-16 00:00:00,51,74,False
2018-01-16 01:00:00,46,71,False
2018-01-16 02:00:00,42,66,False
2018-01-16 03:00:00,39,63,False
2018-01-16 04:00:00,38,55,False
2018-01-16 05:00:00,40,43,False
2018-01-16 06:00:00,44,31,False
2018-01-16 07:00:00,47,26,False
2018-01-16 08:00:00,51,23,False
2018-01-16 09:00:00,54,21,False
2018-01-16 10:00:00,56,23,False
2018-01-16 11:00:00,57,27,False
2018-01-16 12:00:00,56,34,False
2018-01-16 13:00:00,54,37,False
2018-01-16 14:00:00,56,39,False
2018-01-16 15:00:00,58,40,False
2018-01-16 16:00:00,61,41,False
2018-01-16 17:00:00,65,41,False
2018-01-16 18:00:00,71,43,False
2018-01-16 19:00:00,80,44,False
2018-01-16 20:00:00,88,48,False
2018-01-16 21:00:00,80,50,False
2018-01-16 22:00:00,70,57,False
2018-01-16 23:00:00,57,63,False
2018-01-17 00:00:00,49,67,False
2018-01-17 01:00:00,43,65,False
2018-01-17 02:00:00,41,62,False
2018-01-17 03:00:00,39,59,False
2018-01-17 04:00:00,39,53,False
2018-01-17 05:00:00,40,42,False
2018-01-17 06:00:00,44,32,False
2018-01-17 07:00:00,49,26,False
2018-01-17 08:00:00,52,22,False
2018-01-17 09:00:00,56,21,False
2018-01-17 10:00:00,56,22,False
2018-01-17 11:00:00,58,25,False
2018-01-17 12:00:00,59,31,False
2018-01-17 13:00:00,58,34,False
2018-01-17 14:00:00,58,37,False
2018-01-17 15:00:00,60,38,False
2018-01-17 16:00:00,63,38,False
2018-01-17 17:00:00,67,41,False
2018-01-17 18:00:00,76,41,False
2018-01-17 19:00:00,87,43,False
2018-01-17 20:00:00,100,45,False
2018-01-17 21:00:00,99,48,False
2018-01-17 22:00:00,82,54,False
2018-01-17 23:00:00,63,59,False
2018-01-18 00:00:00,51,64,False
2018-01-18 01:00:00,46,62,False
2018-01-18 02:00:00,43,60,False
2018-01-18 03:00:00,41,57,False
2018-01-18 04:00:00,41,49,False
2018-01-18 05:00:00,42,40,False
2018-01-18 06:00:00,49,30,False
2018-01-18 07:00:00,53,26,False
2018-01-18 08:00:00,58,23,False
2018-01-18 09:00:00,58,21,False
2018-01-18 10:00:00,59,22,False
2018-01-18 11:00:00,60,25,False
2018-01-18 12:00:00,61,31,False
2018-01-18 13:00:00,57,35,False
2018-01-18 14:00:00,58,36,False
2018-01-18 15:00:00,61,38,False
2018-01-18 16:00:00,64,39,False
2018-01-18 17:00:00,68,41,False
2018-01-18 18:00:00,73,41,False
2018-01-18 19:00:00,83,43,False
2018-01-18 20:00:00,96,45,False
2018-01-18 21:00:00,97,47,False
2018-01-18 22:00:00,90,51,False
2018-01-18 23:00:00,64,57,False
2018-01-19 00:00:00,53,60,False
2018-01-19 01:00:00,46,58,False
2018-01-19 02:00:00,44,56,False
2018-01-19 03:00:00,42,54,False
2018-01-19 04:00:00,42,49,False
2018-01-19 05:00:00,44,41,False
2018-01-19 06:00:00,50,32,False
2018-01-19 07:00:00,54,27,False
2018-01-19 08:00:00,58,23,False
2018-01-19 09:00:00,60,21,False
2018-01-19 10:00:00,60,22,False
2018-01-19 11:00:00,58,25,False
2018-01-19 12:00:00,62,30,False
2018-01-19 13:00:00,61,33,False
2018-01-19 14:00:00,61,36,False
2018-01-19 15:00:00,62,38,False
2018-01-19 16:00:00,64,38,False
2018-01-19 17:00:00,68,39,False
2018-01-19 18:00:00,73,41,False
2018-01-19 19:00:00,80,43,False
2018-01-19 20:00:00,87,44,False
2018-01-19 21:00:00,86,46,False
2018-01-19 22:00:00,79,47,False
2018-01-19 23:00:00,67,50,False
2018-01-20 00:00:00,58,52,False
2018-01-20 01:00:00,52,53,False
2018-01-20 02:00:00,47,53,False
2018-01-20 03:00:00,46,50,False
2018-01-20 04:00:00,42,47,False
2018-01-20 05:00:00,39,40,False
2018-01-20 06:00:00,44,34,False
2018-01-20 07:00:00,56,28,False
2018-01-20 08:00:00,67,24,False
2018-01-20 09:00:00,75,22,False
2018-01-20 10:00:00,78,22,False
2018-01-20 11:00:00,76,22,False
2018-01-20 12:00:00,80,26,False
2018-01-20 13:00:00,80,31,False
2018-01-20 14:00:00,77,35,False
2018-01-20 15:00:00,77,37,False
2018-01-20 16:00:00,79,38,False
2018-01-20 17:00:00,90,40,False
2018-01-20 18:00:00,91,43,False
2018-01-20 19:00:00,99,43,False
2018-01-20 20:00:00,99,45,False
2018-01-20 21:00:00,98,45,False
2018-01-20 22:00:00,91,47,False
2018-01-20 23:00:00,79,48,False
2018-01-21 00:00:00,64,48,False
2018-01-21 01:00:00,56,50,False
2018-01-21 02:00:00,50,49,False
2018-01-21 03:00:00,46,50,False
2018-01-21 04:00:00,45,45,False
2018-01-21 05:00:00,40,41,False
2018-01-21 06:00:00,41,35,False
2018-01-21 07:00:00,50,28,False
2018-01-21 08:00:00,60,23,False
2018-01-21 09:00:00,67,22,False
2018-01-21 10:00:00,75,23,False
2018-01-21 11:00:00,72,22,False
2018-01-21 12:00:00,75,25,False
2018-01-21 13:00:00,77,29,False
2018-01-21 14:00:00,82,32,False
2018-01-21 15:00:00,80,35,False
2018-01-21 16:00:00,87,39,False
2018-01-21 17:00:00,95,39,False
2018-01-21 18:00:00,96,40,False
2018-01-21 19:00:00,100,41,False
2018-01-21 20:00:00,96,44,False
2018-01-21 21:00:00,92,46,False
2018-01-21 22:00:00,80,49,False
2018-01-21 23:00:00,62,52,False
2018-01-22 00:00:00,53,56,False
2018-01-22 00:00:00,19,20,False
2018-01-22 01:00:00,16,20,False
2018-01-22 02:00:00,15,19,False
2018-01-22 03:00:00,14,17,False
2018-01-22 04:00:00,13,16,False
2018-01-22 05:00:00,14,13,False
2018-01-22 06:00:00,15,10,False
2018-01-22 07:00:00,17,9,False
2018-01-22 08:00:00,19,8,False
2018-01-22 09:00:00,19,7,False
2018-01-22 10:00:00,20,7,False
2018-01-22 11:00:00,20,8,False
2018-01-22 12:00:00,21,9,False
2018-01-22 13:00:00,20,10,False
2018-01-22 14:00:00,20,12,False
2018-01-22 15:00:00,21,13,False
2018-01-22 16:00:00,22,13,False
2018-01-22 17:00:00,24,14,False
2018-01-22 18:00:00,26,14,False
2018-01-22 19:00:00,28,15,False
2018-01-22 20:00:00,29,15,False
2018-01-22 21:00:00,28,16,False
2018-01-22 22:00:00,26,17,False
2018-01-22 23:00:00,21,18,False
2018-01-23 00:00:00,18,19,False
2018-01-23 01:00:00,16,18,False
2018-01-23 02:00:00,15,19,False
2018-01-23 03:00:00,15,18,False
2018-01-23 04:00:00,14,16,False
2018-01-23 05:00:00,16,13,False
2018-01-23 06:00:00,18,10,False
2018-01-23 07:00:00,20,9,False
2018-01-23 08:00:00,21,7,False
2018-01-23 09:00:00,22,7,False
2018-01-23 10:00:00,23,7,False
2018-01-23 11:00:00,24,8,False
2018-01-23 12:00:00,24,9,False
2018-01-23 13:00:00,23,10,False
2018-01-23 14:00:00,23,11,False
2018-01-23 15:00:00,26,12,False
2018-01-23 16:00:00,31,13,False
2018-01-23 17:00:00,45,13,False
2018-01-23 18:00:00,59,14,False
2018-01-23 19:00:00,84,14,False
2018-01-23 20:00:00,83,15,False
2018-01-23 21:00:00,72,15,False
2018-01-23 22:00:00,50,16,False
2018-01-23 23:00:00,30,18,False
2018-01-24 00:00:00,23,18,False
2018-01-24 01:00:00,20,18,False
2018-01-24 02:00:00,19,18,False
2018-01-24 03:00:00,20,17,False
2018-01-24 04:00:00,22,15,False
2018-01-24 05:00:00,30,13,False
2018-01-24 06:00:00,37,10,False
2018-01-24 07:00:00,34,8,False
2018-01-24 08:00:00,32,8,False
2018-01-24 09:00:00,30,7,False
2018-01-24 10:00:00,29,7,False
2018-01-24 11:00:00,32,8,False
2018-01-24 12:00:00,32,9,False
2018-01-24 13:00:00,28,10,False
2018-01-24 14:00:00,28,11,False
2018-01-24 15:00:00,30,12,False
2018-01-24 16:00:00,35,12,False
2018-01-24 17:00:00,60,13,False
2018-01-24 18:00:00,76,13,False
2018-01-24 19:00:00,100,14,False
2018-01-24 20:00:00,93,14,False
2018-01-24 21:00:00,82,15,False
2018-01-24 22:00:00,75,16,False
2018-01-24 23:00:00,37,17,False
2018-01-25 00:00:00,25,18,False
2018-01-25 01:00:00,22,18,False
2018-01-25 02:00:00,22,18,False
2018-01-25 03:00:00,23,18,False
2018-01-25 04:00:00,27,16,False
2018-01-25 05:00:00,40,13,False
2018-01-25 06:00:00,47,10,False
2018-01-25 07:00:00,38,8,False
2018-01-25 08:00:00,34,7,False
2018-01-25 09:00:00,32,7,False
2018-01-25 10:00:00,31,7,False
2018-01-25 11:00:00,32,8,False
2018-01-25 12:00:00,29,9,False
2018-01-25 13:00:00,26,10,False
2018-01-25 14:00:00,27,11,False
2018-01-25 15:00:00,28,12,False
2018-01-25 16:00:00,31,12,False
2018-01-25 17:00:00,37,13,False
2018-01-25 18:00:00,46,13,False
2018-01-25 19:00:00,100,14,False
2018-01-25 20:00:00,76,14,False
2018-01-25 21:00:00,69,15,False
2018-01-25 22:00:00,59,16,False
2018-01-25 23:00:00,32,17,False
2018-01-26 00:00:00,23,17,False
2018-01-26 01:00:00,19,17,False
2018-01-26 02:00:00,18,18,False
2018-01-26 03:00:00,19,17,False
2018-01-26 04:00:00,22,15,False
2018-01-26 05:00:00,30,13,False
2018-01-26 06:00:00,36,10,False
2018-01-26 07:00:00,32,8,False
2018-01-26 08:00:00,30,7,False
2018-01-26 09:00:00,28,7,False
2018-01-26 10:00:00,27,7,False
2018-01-26 11:00:00,29,8,False
2018-01-26 12:00:00,29,9,False
2018-01-26 13:00:00,26,10,False
2018-01-26 14:00:00,25,11,False
2018-01-26 15:00:00,25,12,False
2018-01-26 16:00:00,27,13,False
2018-01-26 17:00:00,28,13,False
2018-01-26 18:00:00,31,13,False
2018-01-26 19:00:00,32,14,False
2018-01-26 20:00:00,34,14,False
2018-01-26 21:00:00,34,15,False
2018-01-26 22:00:00,29,16,False
2018-01-26 23:00:00,25,17,False
2018-01-27 00:00:00,21,17,False
2018-01-27 01:00:00,18,17,False
2018-01-27 02:00:00,16,18,False
2018-01-27 03:00:00,15,17,False
2018-01-27 04:00:00,15,16,False
2018-01-27 05:00:00,15,14,False
2018-01-27 06:00:00,16,12,False
2018-01-27 07:00:00,21,9,False
2018-01-27 08:00:00,25,9,False
2018-01-27 09:00:00,25,8,False
2018-01-27 10:00:00,27,8,False
2018-01-27 11:00:00,27,8,False
2018-01-27 12:00:00,28,9,False
2018-01-27 13:00:00,28,10,False
2018-01-27 14:00:00,26,12,False
2018-01-27 15:00:00,26,12,False
2018-01-27 16:00:00,27,13,False
2018-01-27 17:00:00,30,14,False
2018-01-27 18:00:00,32,15,False
2018-01-27 19:00:00,35,15,False
2018-01-27 20:00:00,35,15,False
2018-01-27 21:00:00,35,16,False
2018-01-27 22:00:00,31,16,False
2018-01-27 23:00:00,27,17,False
2018-01-28 00:00:00,23,17,False
2018-01-28 01:00:00,20,17,False
2018-01-28 02:00:00,18,18,False
2018-01-28 03:00:00,17,18,False
2018-01-28 04:00:00,15,16,False
2018-01-28 05:00:00,15,14,False
2018-01-28 06:00:00,16,12,False
2018-01-28 07:00:00,17,10,False
2018-01-28 08:00:00,21,9,False
2018-01-28 09:00:00,23,8,False
2018-01-28 10:00:00,26,8,False
2018-01-28 11:00:00,26,8,False
2018-01-28 12:00:00,26,9,False
2018-01-28 13:00:00,27,10,False
2018-01-28 14:00:00,26,11,False
2018-01-28 15:00:00,27,13,False
2018-01-28 16:00:00,29,13,False
2018-01-28 17:00:00,31,14,False
2018-01-28 18:00:00,34,14,False
2018-01-28 19:00:00,35,14,False
2018-01-28 20:00:00,35,15,False
2018-01-28 21:00:00,32,16,False
2018-01-28 22:00:00,28,17,False
2018-01-28 23:00:00,23,18,False
2018-01-29 00:00:00,20,18,False
2018-01-29 00:00:00,32,30,False
2018-01-29 01:00:00,27,30,False
2018-01-29 02:00:00,25,30,False
2018-01-29 03:00:00,0,0,False
2018-01-29 04:00:00,0,0,False
2018-01-29 05:00:00,0,0,False
2018-01-29 06:00:00,0,0,False
2018-01-29 07:00:00,0,0,False
2018-01-29 08:00:00,0,0,False
2018-01-29 09:00:00,0,0,False
2018-01-29 10:00:00,32,12,False
2018-01-29 11:00:00,34,13,False
2018-01-29 12:00:00,34,14,False
2018-01-29 13:00:00,32,16,False
2018-01-29 14:00:00,33,19,False
2018-01-29 15:00:00,34,20,False
2018-01-29 16:00:00,36,22,False
2018-01-29 17:00:00,38,22,False
2018-01-29 18:00:00,42,23,False
2018-01-29 19:00:00,46,24,False
2018-01-29 20:00:00,48,25,False
2018-01-29 21:00:00,45,26,False
2018-01-29 22:00:00,41,27,False
2018-01-29 23:00:00,35,29,False
2018-01-30 00:00:00,29,31,False
2018-01-30 01:00:00,27,29,False
2018-01-30 02:00:00,25,30,False
2018-01-30 03:00:00,25,29,False
2018-01-30 04:00:00,23,26,False
2018-01-30 05:00:00,24,23,False
2018-01-30 06:00:00,29,17,False
2018-01-30 07:00:00,31,14,False
2018-01-30 08:00:00,34,12,False
2018-01-30 09:00:00,34,12,False
2018-01-30 10:00:00,36,12,False
2018-01-30 11:00:00,35,13,False
2018-01-30 12:00:00,37,15,False
2018-01-30 13:00:00,35,17,False
2018-01-30 14:00:00,35,18,False
2018-01-30 15:00:00,37,20,False
2018-01-30 16:00:00,39,21,False
2018-01-30 17:00:00,44,21,False
2018-01-30 18:00:00,48,22,False
2018-01-30 19:00:00,62,23,False
2018-01-30 20:00:00,80,23,False
2018-01-30 21:00:00,85,25,False
2018-01-30 22:00:00,64,26,False
2018-01-30 23:00:00,41,28,False
2018-01-31 00:00:00,33,29,False
2018-01-31 01:00:00,29,29,False
2018-01-31 02:00:00,28,28,False
2018-01-31 03:00:00,28,26,False
2018-01-31 04:00:00,29,26,False
2018-01-31 05:00:00,37,22,False
2018-01-31 06:00:00,42,17,False
2018-01-31 07:00:00,39,14,False
2018-01-31 08:00:00,39,12,False
2018-01-31 09:00:00,39,11,False
2018-01-31 10:00:00,38,12,False
